Year,Sex,Age,Broad citizenship,Form of exploitation,Value
2019,Both Sexes,Total,Total,Total,9
2020,Both Sexes,Total,Total,Total,12
2021,Both Sexes,Total,Total,Total,4
2022,Both Sexes,Total,Total,Total,22
2023,Both Sexes,Total,Total,Total,6
2019,Females,Total,Total,Total,6
2020,Females,Total,Total,Total,12
2021,Females,Total,Total,Total,4
2022,Females,Total,Total,Total,19
2023,Females,Total,Total,Total,6
2019,Males,Total,Total,Total,3
2020,Males,Total,Total,Total,0
2021,Males,Total,Total,Total,0
2022,Males,Total,Total,Total,3
2023,Males,Total,Total,Total,0
2019,Both Sexes,18+,Total,Total,9
2020,Both Sexes,18+,Total,Total,9
2021,Both Sexes,18+,Total,Total,4
2022,Both Sexes,18+,Total,Total,22
2023,Both Sexes,18+,Total,Total,6
2019,Both Sexes,0 - 17,Total,Total,0
2020,Both Sexes,0 - 17,Total,Total,3
2021,Both Sexes,0 - 17,Total,Total,0
2022,Both Sexes,0 - 17,Total,Total,0
2023,Both Sexes,0 - 17,Total,Total,0
2019,Both Sexes,Total,Maltese,Total,0
2020,Both Sexes,Total,Maltese,Total,3
2021,Both Sexes,Total,Maltese,Total,0
2022,Both Sexes,Total,Maltese,Total,0
2023,Both Sexes,Total,Maltese,Total,0
2019,Both Sexes,Total,Other EU,Total,0
2020,Both Sexes,Total,Other EU,Total,2
2021,Both Sexes,Total,Other EU,Total,0
2022,Both Sexes,Total,Other EU,Total,2
2023,Both Sexes,Total,Other EU,Total,1
2019,Both Sexes,Total,Non-EU,Total,9
2020,Both Sexes,Total,Non-EU,Total,7
2021,Both Sexes,Total,Non-EU,Total,4
2022,Both Sexes,Total,Non-EU,Total,20
2023,Both Sexes,Total,Non-EU,Total,5
2019,Both Sexes,Total,Total,Forced labour,8
2020,Both Sexes,Total,Total,Forced labour,6
2021,Both Sexes,Total,Total,Forced labour,2
2022,Both Sexes,Total,Total,Forced labour,11
2023,Both Sexes,Total,Total,Forced labour,0
2019,Both Sexes,Total,Total,Sexual exploitation,1
2020,Both Sexes,Total,Total,Sexual exploitation,7
2021,Both Sexes,Total,Total,Sexual exploitation,2
2022,Both Sexes,Total,Total,Sexual exploitation,12
2023,Both Sexes,Total,Total,Sexual exploitation,6
2019,Both Sexes,Total,Total,Other forms,0
2020,Both Sexes,Total,Total,Other forms,3
2021,Both Sexes,Total,Total,Other forms,1
2022,Both Sexes,Total,Total,Other forms,2
2023,Both Sexes,Total,Total,Other forms,0
